X,Y,OBJECTID_1,year,month,day,hour,minute,second,lat,lon,depth,magnitude,OBJECTID
-12857402.4809,3868787.9343,183,1915,6,23,3,59,99.99,32.8,-115.5,0,6,183
-12857402.4809,3868787.9343,184,1915,6,23,4,56,99.99,32.8,-115.5,0,5.9,184
-12801742.7194,3763311.2475,185,1915,11,21,0,13,42,32,-115,0,6.6,185
-14026257.4161,5012342.3766,186,1915,12,31,12,20,99.99,41,-126,0,6.5,186
-13497489.6975,4393208.9981,187,1916,8,6,19,38,99.99,36.67,-121.25,0,5.8,187
-12924194.1905,3921881.4482,188,1916,9,30,2,11,99.99,33.2,-116.1,0,5.7,188
-13247020.7838,4143516.0383,189,1916,10,23,2,44,99.99,34.85,-119,0,5.5,189
-12990985.9159,4204725.7376,190,1916,11,10,9,11,99.99,35.3,-116.7,0,5.9,190
-13135701.3377,4865943.068,191,1917,4,11,19,0,99.99,40,-118,0,5.1,191
-12835138.5787,3868787.9356,192,1917,5,28,6,6,99.99,32.8,-115.3,0,5.5,192
-13024381.7543,3995282.9775,193,1918,4,21,22,32,25,33.75,-117,0,6.8,193
-12846270.5282,3842330.8494,194,1918,5,1,4,32,99.99,32.6,-115.4,0,5.6,194
-12990985.9001,3975218.0759,195,1918,6,6,22,32,99.99,33.6,-116.7,0,5.5,195
-13914937.9103,5012342.3894,196,1918,7,15,0,23,99.99,41,-125,0,6.5,196
-13269284.6861,4150300.4905,197,1919,2,16,15,57,99.99,34.9,-119.2,0,5.7,197
-12801742.7239,3842330.8519,198,1919,10,1,19,30,99.99,32.6,-115,0,5.9,198
-13302680.5779,4621893.5979,199,1919,12,19,13,59,99.99,38.3,-119.5,0,5.2,199
-12990985.8967,3921881.4439,200,1920,1,1,2,35,0,33.2,-116.7,0,5,200
-12857402.4778,3815932.7594,201,1921,9,8,19,24,0,32.4,-115.5,0,5.5,201
-14026257.4161,5012342.3766,202,1922,1,26,9,31,20,41,-126,0,6,202
-13970597.6632,5012342.3831,203,1922,1,31,13,17,22,41,-125.5,0,7.3,203
-13386170.179,4266276.7261,204,1922,3,10,11,21,20,35.75,-120.25,0,6.3,204
-13386170.179,4266276.7261,205,1922,8,18,5,12,0,35.75,-120.25,0,5.7,205
-13436263.9529,4204725.7038,206,1922,9,5,9,5,99.99,35.3,-120.7,0,5.5,206
-13414000.1439,5160980.2507,207,1923,1,11,4,29,0,42,-120.5,0,5,207
-13903805.9497,4924241.302,208,1923,1,22,9,4,18,40.4,-124.9,0,7.2,208
-13914937.9103,5012342.3894,209,1923,4,29,2,31,29,41,-125,0,5,209
-13052211.6342,4028802.6779,210,1923,7,23,7,30,26,34,-117.25,0,6.2,210
-12857402.4785,3829124.466,211,1923,11,5,22,7,0,32.5,-115.5,0,5,211
-12857402.4785,3829124.466,212,1923,11,7,23,57,0,32.5,-115.5,0,5.5,212
-13914937.9188,5086374.3851,213,1925,6,4,12,2,52,41.5,-125,0,6,213
-13336076.3855,4069156.8217,214,1925,6,29,14,42,16,34.3,-119.8,0,6.8,214
-13302680.5329,4069156.8241,215,1926,2,18,18,18,0,34.3,-119.5,0,5.5,215
-12913062.2463,4028802.6873,216,1926,4,3,20,8,0,34,-116,0,5.5,216
-13302680.5349,4096139.686,217,1926,6,29,23,21,0,34.5,-119.5,0,5.5,217
-13180229.088,4273137.1462,218,1926,6,30,13,31,0,35.8,-118.4,0,5.5,218
-13402868.1135,4369641.1921,219,1926,7,25,17,57,49,36.5,-120.4,15,5.8,219
-13603243.2281,4373796.4331,220,1926,10,22,12,35,7,36.53,-122.2,0,6.1,220
-13601016.8382,4376567.5005,221,1926,10,22,13,35,22,36.55,-122.18,0,6.1,221
-13604356.429,4441895.5714,222,1926,10,24,22,51,49.5,37.02,-122.21,0,5.8,222
-14026257.4119,4975537.069,223,1926,12,10,8,38,53,40.75,-126,0,6,223
-13402868.1124,4355801.9443,224,1926,12,27,9,19,0,36.4,-120.4,0,5.5,224
-12857402.4785,3829124.466,225,1927,1,1,8,16,45,32.5,-115.5,0,5.8,225
-12857402.4785,3829124.466,226,1927,1,1,9,13,30,32.5,-115.5,0,5.5,226
-13611035.5987,4432140.3949,227,1927,2,15,11,54,99.99,36.95,-122.27,0,5.9,227
-13609922.4036,4432140.3951,228,1927,2,15,23,54,3.5,36.95,-122.26,0,5,228
-13191361.0212,4028802.6684,229,1927,8,4,12,24,0,34,-118.5,0,5,229
-13870410.1078,5012342.3947,230,1927,8,20,20,5,44,41,-124.6,0,5,230
-13219190.9358,4509032.113,231,1927,9,18,2,7,7,37.5,-118.75,0,5.5,231
-13458527.8475,4109655.3701,232,1927,11,4,13,50,53,34.6,-120.9,0,7.1,232
-13653337.0501,4836921.9759,233,1928,4,15,21,57,15,39.8,-122.65,0,5.5,233
-13024381.766,4163881.8211,234,1928,9,5,14,42,0,35,-117,0,5.5,234
-12990985.9001,3975218.0759,235,1928,10,2,19,1,0,33.6,-116.7,0,5.5,235
-12970948.3995,4140803.4313,236,1929,9,26,20,0,22.7,34.83,-116.52,0,5.1,236
-13156852.0033,4425177.9392,237,1929,11,28,19,49,0,36.9,-118.19,0,5.5,237
-13013249.8074,4055689.5181,238,1930,1,16,0,24,33.9,34.2,-116.9,0,5.5,238
-13015476.1975,4052997.971,239,1930,1,16,0,34,3.6,34.18,-116.92,0,5.1,239
-12857402.4825,3895304.6043,240,1930,2,26,2,30,0,33,-115.5,0,5,240
-13302680.5349,4096139.686,241,1930,8,5,11,25,0,34.5,-119.5,0,5,241
-13205832.5569,4022090.8622,242,1930,8,31,0,40,36,33.95,-118.63,0,5.2,242
-13825882.3043,5004970.205,243,1930,9,23,2,58,0,40.95,-124.2,0,5.5,243
-13892673.9991,4924241.3033,244,1930,12,11,9,0,0,40.4,-124.8,0,5.5,244
-13914937.894,4865942.9851,245,1931,3,10,3,28,53,40,-125,0,5.6,245
-13981729.6007,4895049.1428,246,1931,8,23,18,1,35,40.2,-125.6,0,5.3,246
-13914937.9068,4982887.0381,247,1931,9,9,13,40,30,40.8,-125,0,5.8,247
-13469659.8128,4300622.0372,248,1932,2,26,16,58,0,36,-121,0,5,248
-13837014.2525,4982887.0471,249,1932,6,6,8,44,22,40.8,-124.3,0,6.4,249
-13135701.3198,4685924.9787,250,1932,12,21,6,10,5,38.75,-118,0,7.2,250
-13135701.3205,4693064.4031,251,1932,12,24,12,41,99.99,38.8,-118,0,5,251
-13135701.3205,4693064.4031,252,1932,12,25,3,55,99.99,38.8,-118,0,5.5,252
-13093399.8965,4582252.2712,253,1932,12,26,5,2,99.99,38.02,-117.62,0,5.3,253
-13135701.3205,4693064.4031,254,1932,12,29,6,21,99.99,38.8,-118,0,5.2,254
-13135701.3205,4693064.4031,255,1932,12,29,6,38,99.99,38.8,-118,0,5,255
-13135701.3205,4693064.4031,256,1932,12,29,6,46,99.99,38.8,-118,0,5,256
-13135701.3198,4685924.9787,257,1933,1,5,6,50,20,38.75,-118,0,5.9,257
-13132361.6779,3980565.2873,258,1933,3,11,1,54,9.5,33.64,-117.97,6,6.4,258
-13131248.4842,4001979.0655,259,1933,3,11,5,18,48.33,33.8,-117.96,6,5,259
-13134588.068,3979228.2493,260,1933,3,11,6,58,44.67,33.63,-117.99,6,5.28,260
-13283756.272,4733138.1241,261,1933,6,25,20,45,27,39.08,-119.33,0,6.1,261
-13175776.3371,4619057.0268,262,1934,1,30,20,16,31,38.28,-118.36,0,6.3,262
-13135701.3099,4579426.5522,263,1934,3,13,16,20,0,38,-118,0,5,263
-13390622.9597,4271764.7037,264,1934,6,8,4,47,48.95,35.79,-120.29,6,6,264
-13998427.544,5049287.5555,265,1934,7,6,22,48,0,41.25,-125.75,0,6.5,265
-12868534.4317,3864815.5867,266,1934,12,30,13,52,15.21,32.77,-115.6,6,6.5,266
-12860742.0639,3830444.4425,267,1934,12,31,18,45,49.8,32.51,-115.53,6,7,267
-13942767.7744,4902339.0898,268,1935,1,2,22,40,58,40.25,-125.25,0,5.8,268
-12824006.6214,3760686.2212,269,1935,2,24,1,45,0,31.98,-115.2,0,5.5,269
-13803618.4039,5012342.4023,270,1935,6,3,17,8,0,41,-124,0,5,270
-12830685.7982,3867463.6714,271,1935,12,20,7,45,31.31,32.79,-115.26,6,5.28,271
-13176889.5236,4524478.1751,272,1936,5,10,17,40,13.2,37.61,-118.37,10,5,272
-13914937.9103,5012342.3894,273,1936,10,10,1,25,0,41,-125,0,5,273
-13942767.7785,4938869.8882,274,1937,2,7,4,41,34,40.5,-125.25,0,5.8,274
-13169097.1668,4621893.6106,275,1937,2,19,9,9,0,38.3,-118.3,0,5,275
-12962042.8262,3956522.3002,276,1937,3,25,16,49,3.98,33.46,-116.44,6,5.6,276
-13078928.3139,3989928.9086,277,1938,5,31,8,34,55.44,33.71,-117.49,6,5.22,277
-13803618.4039,5012342.4023,278,1938,7,1,18,13,0,41,-124,0,5,278
-13803618.3877,4865942.9971,279,1938,9,12,6,10,0,40,-124,0,5.5,279
-13497489.6949,4362719.3303,280,1938,9,27,12,23,0,36.45,-121.25,0,5,280
-13202493.0088,4502018.703,281,1938,12,3,17,42,52.6,37.45,-118.6,10,5.7,281
-13269284.7348,4721672.3231,282,1939,1,11,22,0,0,39,-119.2,0,5.5,282
-13082267.8851,3758061.7538,283,1939,5,1,23,53,9.02,31.96,-117.52,6,5.03,283
-13082267.8851,3758061.7538,284,1939,5,1,23,53,9.02,31.96,-117.52,6,5.03,284
-12781705.2427,4296494.9222,285,1939,5,4,20,44,46.7,35.97,-114.82,0,5,285
-13116777.0008,4661688.253,286,1939,5,11,18,4,0,38.58,-117.83,0,5.5,286
-13052211.6654,4441895.6192,287,1939,6,13,17,15,0,37.02,-117.25,0,5,287
-13519753.6006,4411266.5883,288,1939,6,24,13,2,0,36.8,-121.45,0,5.5,288
-13076701.9096,3756749.7419,289,1939,6,24,16,27,27.63,31.95,-117.47,6,5.3,289
-13460754.2519,4296494.8684,290,1939,12,28,12,15,33.03,35.97,-120.92,6,5.16,290
-13536451.5701,4865943.0257,291,1940,2,8,8,5,59,40,-121.6,0,5.7,291
